page,uses_db,uses_api,api_dependencies
/,False,False,
/default.aspx,False,False,
/nio/accounts/{id}/viewaccount,True,True,Monolith.Crm
/nio/accountsearch,True,False,
/nio/addressshared/{id}/clientaddaddress/{sid},True,True,Monolith.Crm
/nio/adviser/searchdialog,True,False,
/nio/adviser/searchdialogactiveadviser,True,False,
/nio/adviser/{id}/advisersearchwithinlegalentity,True,False,
/nio/adviser/{id}/advisersearchwithinlegalentity/{sid},True,False,
/nio/adviser/{id}/searchsellingadviser,True,False,
/nio/adviser/{id}/searchsellingadviser/{sid},True,False,
/nio/annuitysummary/{id}/saveannuitysummary/{sid},True,False,
/nio/authentication/authorised,True,False,
/nio/authentication/login,False,False,
/nio/authentication/loginidentity,False,False,
/nio/authentication/logoff,True,False,
/nio/binder/{id}/binderindex,True,False,
/nio/binder/{id}/binderindex/{sid},True,False,
/nio/binder/{id}/create/{sid},True,False,
/nio/bindershared/{id}/delete,True,False,
/nio/bindershared/{id}/delete/{sid},True,False,
/nio/ce/{id}/addmanualvaluation/{sid},True,False,
/nio/ce/{id}/selectvaluationtype/{sid},True,False,
/nio/client/{id}/addrelationship,True,False,
/nio/client/{id}/addrelationship/{sid},True,True,Monolith.Crm
/nio/client/{id}/addshare/{sid},True,False,
/nio/client/{id}/clientnote/{sid},True,False,
/nio/client/{id}/deleteaddress/{sid},True,True,Monolith.Crm
/nio/client/{id}/editaddress/{sid},True,True,Monolith.Crm
/nio/client/{id}/restrictprocessing,True,False,
/nio/client/{id}/restrictprocessing/{sid},True,False,
/nio/client/{id}/shareclient,True,False,
/nio/client/{id}/shareclient/{sid},True,False,
/nio/client/{id}/viewaddress,True,True,Monolith.Crm
/nio/client/{id}/viewaddress/{sid},True,True,Monolith.Crm
/nio/client/{id}/viewclientshares,True,False,
/nio/client/{id}/viewcontact/{sid},True,False,
/nio/client/{id}/viewpersonal/{sid},True,True,"Microservice.ApplicationStore, Monolith.Crm"
/nio/client/{id}/viewrelationships/{sid},True,False,
/nio/client/{id}/viewsummary,True,True,Monolith.Crm
/nio/client/{id}/viewsummary/{sid},True,True,Monolith.Crm
/nio/clientactions/addclient,True,True,"Microservice.dpa, Monolith.Crm"
/nio/clientactions/addclientandplan,True,True,"Microservice.dpa, Monolith.Crm"
/nio/clientactions/addclientquick,True,False,
/nio/clientactions/addclientquicksave,True,True,Monolith.Crm
/nio/clientactions/{id}/addplan,True,False,
/nio/clientactions/{id}/addplan/{sid},True,True,Microservice.dpa
/nio/clientdashboard/{id}/dashboard/{sid},True,True,Microservice.Author
/nio/clientfactfind/{id}/factfind/{sid}/estateplanning,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/estateplanning/currentestateplanning,True,True,Monolith.Portfolio
/nio/clientfactfind/{id}/factfind/{sid}/estateplanning/estatenextsteps,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/estateplanning/estateplanningneeds,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/mortgage,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/mortgage/mortgagepreferences,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/mortgage/mortgageprovision,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/mortgage/mortgagerequirements,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/mortgage/propertydetailsapi,True,True,Monolith.Crm
/nio/clientfactfind/{id}/factfind/{sid}/profile,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/profile/adviceareas,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/profile/contactdetails,True,True,Monolith.Crm
/nio/clientfactfind/{id}/factfind/{sid}/profile/needsandprioritiesprofile,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/protection,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/protection/buildingsandcontents,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/protection/incomeprotection,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/protection/lifecoverandcic,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/protection/protectionprovision,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/protection/protectionsummary,True,True,Monolith.factfind
/nio/clientfactfind/{id}/factfind/{sid}/retirement,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/retirement/annuities,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/retirement/existingretirementprovision,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/retirement/finalsalaryschemes,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/retirement/moneypurchaseschemes,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/retirement/personalpensions,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/retirement/retirementgoals,True,False,
/nio/clientfactfind/{id}/factfind/{sid}/retirement/retirementnextsteps,True,False,
/nio/clientfactfind/{id}/factfindselector,True,False,
/nio/clientfees/{id}/addfee,True,False,
/nio/clientfees/{id}/changestatus/{sid},True,False,
/nio/clientfees/{id}/index,True,False,
/nio/clientfees/{id}/savefee/{sid},True,False,
/nio/clientfees/{id}/viewrecord/{sid},True,False,
/nio/clientsearch,True,True,Microservice.SecureMessaging
/nio/clientsearch/clientquicksearch,True,False,
/nio/clientsearch/index,True,True,Microservice.SecureMessaging
/nio/clientsearch/{id}/beginmergeclientsearch,False,False,
/nio/clientsearch/{id}/mergeclient,True,False,
/nio/clientsearch/{id}/mergeclientsave/{sid},True,False,
/nio/clientsearch/{id}/redirectfromclientrestore,False,False,
/nio/clientsearch/{id}/searchdialogwithselection/{sid},True,False,
/nio/complaint,True,False,
/nio/complianceadministration/{id}/filecheckconfigurationview/{sid},True,False,
/nio/dashboard/userdashboard,True,True,Microservice.SecureMessaging
/nio/dashboardframework/component,True,False,
/nio/defaultplansummary/{id}/viewsummary/{sid},True,True,Monolith.Crm
/nio/diary/diarynavigationcallback,True,False,
/nio/document/{id}/documentprofile/{sid},True,False,
/nio/document/{id}/index,True,True,Microservice.ClientStorage
